,Zip.Code,RUCC_2023
3508,53589,2.0
3509,53589,2.0
3510,53714,2.0
3511,53714,2.0
3514,53590,2.0
3515,53590,2.0
3516,53705,2.0
3517,53705,2.0
3518,53551,4.0
3519,53551,4.0
3522,53719,2.0
3523,53719,2.0
3524,53538,4.0
3525,53538,4.0
3532,53714,2.0
3533,53714,2.0
3534,53593,2.0
3535,53593,2.0
3536,53527,2.0
3537,53527,2.0
3538,53560,2.0
3539,53560,2.0
3540,53590,2.0
3541,53590,2.0
3544,53533,2.0
3545,53533,2.0
3546,53549,4.0
3547,53549,4.0
3548,53590,2.0
3549,53590,2.0
3552,53575,2.0
3553,53575,2.0
3554,53522,2.0
3555,53705,2.0
3556,53705,2.0
3557,53597,2.0
3558,53597,2.0
3559,53590,2.0
3560,53590,2.0
3561,53529,2.0
3562,53529,2.0
3563,53716,2.0
3564,53716,2.0
3565,53713,2.0
3566,53575,2.0
3567,53575,2.0
3568,53531,2.0
3569,53531,2.0
3570,53703,2.0
3571,53703,2.0
3574,53711,2.0
3575,53711,2.0
3576,53719,2.0
3577,53719,2.0
3578,53589,2.0
3579,53589,2.0
3580,53925,2.0
3581,53925,2.0
3582,53711,2.0
3583,53711,2.0
3584,53590,2.0
3585,53590,2.0
3586,53538,4.0
3587,53538,4.0
3588,53959,4.0
3589,53959,4.0
3590,53705,2.0
3591,53705,2.0
3592,53717,2.0
3593,53717,2.0
3594,53704,2.0
3595,53704,2.0
3596,53558,2.0
3597,53558,2.0
3598,53716,2.0
3599,53716,2.0
3600,53711,2.0
3601,53711,2.0
3604,53575,2.0
3605,53575,2.0
3606,53716,2.0
3607,53716,2.0
3608,53597,2.0
3609,53597,2.0
3610,53717,2.0
3611,53717,2.0
3612,53589,2.0
3613,53589,2.0
3614,53575,2.0
3615,53575,2.0
3616,53575,2.0
3617,53575,2.0
3618,53562,2.0
3619,53562,2.0
3620,53562,2.0
3621,53562,2.0
3622,53590,2.0
3623,53590,2.0
3624,53533,2.0
3625,53533,2.0
3626,53711,2.0
3627,53711,2.0
3628,53711,2.0
3629,53711,2.0
3630,53575,2.0
3631,53575,2.0
3632,53704,2.0
3633,53704,2.0
3634,53718,2.0
3635,53718,2.0
3636,53597,2.0
3637,53597,2.0
3638,53583,4.0
3639,53583,4.0
3640,53711,2.0
3641,53711,2.0
3642,53570,2.0
3643,53570,2.0
3644,53704,2.0
3645,53704,2.0
3646,53717,2.0
3647,53717,2.0
3648,53711,2.0
3649,53711,2.0
3650,53531,2.0
3651,53531,2.0
3652,53575,2.0
3653,53575,2.0
3654,53583,4.0
3655,53583,4.0
3656,53597,2.0
3657,53597,2.0
3658,53593,2.0
3659,53593,2.0
3662,53593,2.0
3663,53593,2.0
3664,53558,2.0
3665,53558,2.0
3666,53719,2.0
3667,53719,2.0
3668,53559,2.0
3669,53559,2.0
3670,53955,2.0
3671,53955,2.0
3672,53562,2.0
3673,53562,2.0
3674,53562,2.0
3675,53705,2.0
3676,53705,2.0
3677,53718,2.0
3678,53718,2.0
3679,53532,2.0
3680,53532,2.0
3681,53718,2.0
3682,53718,2.0
3683,53562,2.0
3684,53562,2.0
3685,53590,2.0
3686,53590,2.0
3687,53532,2.0
3688,53532,2.0
3689,53590,2.0
3690,53590,2.0
3693,53562,2.0
3694,53714,2.0
3695,53714,2.0
3696,53714,2.0
3697,53714,2.0
3698,53597,2.0
3699,53597,2.0
3700,53717,2.0
3701,53717,2.0
3702,53913,4.0
3703,53913,4.0
3704,53597,2.0
3705,53597,2.0
3708,53711,2.0
3709,53711,2.0
3710,53593,2.0
3711,53593,2.0
3712,53704,2.0
3713,53704,2.0
3714,53566,2.0
3715,53566,2.0
3716,53575,2.0
3717,53575,2.0
3718,53717,2.0
3719,53717,2.0
3720,53572,2.0
3721,53572,2.0
3722,53508,2.0
3723,53508,2.0
3724,53718,2.0
3725,53718,2.0
3732,53562,2.0
3733,53562,2.0
3734,53572,2.0
3735,53572,2.0
3736,53590,2.0
3737,53590,2.0
3738,53523,2.0
3739,53523,2.0
3740,53590,2.0
3741,53590,2.0
3742,53711,2.0
3743,53711,2.0
3744,53593,2.0
3745,53593,2.0
3746,53913,4.0
3747,53913,4.0
3748,53717,2.0
3749,53717,2.0
3758,53532,2.0
3759,53532,2.0
3760,53711,2.0
3761,53711,2.0
3764,53711,2.0
3765,53711,2.0
3766,53562,2.0
3767,53562,2.0
3768,53590,2.0
3769,53590,2.0
3770,53589,2.0
3771,53589,2.0
3774,53597,2.0
3775,53597,2.0
3776,53719,2.0
3777,53719,2.0
3778,53711,2.0
3779,53711,2.0
3780,53711,2.0
3781,53711,2.0
3782,53726,2.0
3783,53726,2.0
3784,53589,2.0
3785,53589,2.0
3786,53716,2.0
3787,53716,2.0
3788,53719,2.0
3789,53719,2.0
3790,53597,2.0
3791,53597,2.0
3792,53593,2.0
3793,53593,2.0
3794,53726,2.0
3795,53726,2.0
3796,53508,2.0
3797,53508,2.0
3798,53711,2.0
3799,53711,2.0
3800,53558,2.0
3801,53558,2.0
