Account.ID,Avg_Open_Count,Avg_Email_Link_Click_Count,Avg_Response_Time,Donation_Frequency,Total_Donation_Amount,Donor_Score,Engagement Type,Donation Type,State.Province,Zip.Code
215,0.0,0.0,0.0,3,300.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53717
217,0.0,0.0,0.0,3,1545.72,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
218,0.0,0.0,0.0,3,900.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53711
219,1.0,1.0,0.0,2,200.0,16.039611641271385,High Engagement,High Donation,Wisconsin,53703
220,0.0,0.0,0.0,3,450.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53562
221,3.0,0.0,0.0,3,75.0,19.99157721985217,High Engagement,Low Donation,Wisconsin,53703
222,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53719
223,0.0,0.0,0.0,3,36.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53711
224,0.0,0.0,0.0,3,300.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53575
225,3.0,0.0,0.0,3,78.39,19.99157721985217,High Engagement,High Donation,Wisconsin,53711
226,2.0,1.0,0.0,3,150.0,22.703470714555444,High Engagement,High Donation,Wisconsin,53508
227,2.0,0.0,0.0,3,620.7,19.957780549751522,High Engagement,High Donation,Wisconsin,53726
228,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53719
229,1.0,0.0,0.0,3,75.0,19.923983879650873,High Engagement,Low Donation,Wisconsin,53713
230,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53705
231,1.0,0.0,0.0,3,450.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53703
232,0.0,0.0,0.0,3,36.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53562
233,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
234,1.0,0.0,0.0,3,900.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53593
235,0.0,0.0,0.0,3,36.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53703
236,0.0,0.0,0.0,3,36.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53719
237,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53711
238,0.0,0.0,0.0,3,300.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53715
239,0.0,0.0,0.0,3,225.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
240,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53716
241,2.0,0.0,0.0,3,75.0,19.957780549751522,High Engagement,Low Donation,Wisconsin,53140
242,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53703
243,2.0,0.0,0.0,3,75.0,19.957780549751522,High Engagement,Low Donation,Wisconsin,53704
244,0.0,0.0,0.0,3,225.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53719
245,0.0,0.0,0.0,3,900.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53705
246,1.0,0.0,0.0,3,78.24,19.923983879650873,High Engagement,High Donation,Wisconsin,53154
247,1.5,0.0,0.0,3,45.0,19.940882214701197,High Engagement,Low Donation,Wisconsin,53704
249,2.0,0.0,0.0,3,150.0,19.957780549751522,High Engagement,High Donation,Wisconsin,53562
251,0.0,0.0,0.0,3,309.9,19.890187209550223,High Engagement,High Donation,Wisconsin,53716
253,1.0,0.0,0.0,3,78.17999999999999,19.923983879650873,High Engagement,High Donation,Wisconsin,53719
255,1.0,0.0,0.0,2,10000.0,13.293921476467464,High Engagement,High Donation,Wisconsin,53562
256,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53711
259,4.5,1.0,0.0,3,75.0,22.787962389807067,High Engagement,Low Donation,Wisconsin,53711
264,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,District of Columbia,20012
266,0.0,0.0,0.0,3,10500.0,19.890187209550223,High Engagement,High Donation,WI,53794
281,8.333333333333334,6.0,0.0,3,150.0,36.64596711587916,High Engagement,High Donation,Wisconsin,53558
282,0.0,0.0,0.0,3,900.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
283,0.0,0.0,0.0,3,36.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53590
285,0.0,0.0,0.0,3,900.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53562
286,1.0,0.0,0.0,3,36.0,19.923983879650873,High Engagement,Low Donation,Pennsylvania,15216
287,2.0,0.0,0.0,3,75.0,19.957780549751522,High Engagement,Low Donation,Ohio,43235
288,2.0,1.0,0.0,3,36.0,22.703470714555444,High Engagement,Low Donation,Wisconsin,54956
289,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53703
290,4.0,0.0,0.0,3,60.0,20.025373889952824,High Engagement,Low Donation,Wisconsin,53719
291,0.0,0.0,0.0,3,450.0,19.890187209550223,High Engagement,High Donation,Florida,34747
294,0.0,0.0,0.0,3,750.0,19.890187209550223,High Engagement,High Donation,OH,45277
296,0.0,0.0,0.0,3,750.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53713
297,1.6666666666666667,0.0,0.0,3,75.0,19.946514993051306,High Engagement,Low Donation,Wisconsin,53711
299,1.0,0.0,0.0,3,75.0,19.923983879650873,High Engagement,Low Donation,Wisconsin,53532
300,2.0,1.0,0.0,1,100.0,9.443345908188626,Low Engagement,High Donation,Wisconsin,53711
301,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
302,2.0,0.0,0.0,3,225.0,19.957780549751522,High Engagement,High Donation,Wisconsin,53520
303,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53718
304,2.5,0.0,0.0,3,150.0,19.974678884801847,High Engagement,High Donation,Wisconsin,53597
305,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
306,3.0,1.0,0.0,3,310.79999999999995,22.737267384656093,High Engagement,High Donation,Wisconsin,53154
308,7.0,1.0,0.0,3,825.0,22.872454065058694,High Engagement,High Donation,Wisconsin,53711
309,1.5,0.0,0.0,3,927.81,19.940882214701197,High Engagement,High Donation,Wisconsin,53711
310,0.0,0.0,0.0,3,6000.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
311,0.0,0.0,0.0,3,4683.57,19.890187209550223,High Engagement,High Donation,Wisconsin,53959
312,1.0,0.0,0.0,3,78.17999999999999,19.923983879650873,High Engagement,High Donation,Wisconsin,53714
313,1.0,0.0,0.0,3,1545.72,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
314,2.6666666666666665,2.0,0.0,3,150.0,25.471691992759794,High Engagement,High Donation,Wisconsin,53558
315,2.0,0.0,0.0,3,78.17999999999999,19.957780549751522,High Engagement,High Donation,Wisconsin,53705
316,1.0,0.0,0.0,3,154.56,19.923983879650873,High Engagement,High Donation,Wisconsin,53705
317,1.0,1.0,0.0,2,150.0,16.039611641271385,High Engagement,High Donation,Wisconsin,53705
318,12.333333333333334,0.0,0.0,3,155.39999999999998,20.307012807458243,High Engagement,High Donation,Wisconsin,53704
319,1.5,1.0,143047.0,3,155.39999999999998,22.64659767155361,High Engagement,High Donation,Wisconsin,53711
321,1.0,0.0,0.0,3,40.14,19.923983879650873,High Engagement,Low Donation,Wisconsin,53593
322,3.0,0.0,0.0,3,309.9,19.99157721985217,High Engagement,High Donation,Wisconsin,53551
323,3.5,1.0,0.0,3,464.37,22.754165719706418,High Engagement,High Donation,Wisconsin,53593
324,2.0,0.0,0.0,3,309.9,19.957780549751522,High Engagement,High Donation,Wisconsin,53717
325,5.0,1.0,0.0,3,300.0,22.80486072485739,High Engagement,High Donation,Wisconsin,53705
326,1.5,0.0,0.0,3,78.24,19.940882214701197,High Engagement,High Donation,Wisconsin,53589
327,1.0,0.0,0.0,3,311.1,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
328,4.0,1.0,0.0,3,78.17999999999999,22.771064054756742,High Engagement,High Donation,Wisconsin,53562
329,1.3333333333333333,0.0,0.0,3,225.0,19.93524943635109,High Engagement,High Donation,Wisconsin,53711
330,0.0,0.0,0.0,3,464.37,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
331,1.0,0.0,0.0,3,309.9,19.923983879650873,High Engagement,High Donation,Wisconsin,53704
332,3.0,0.0,0.0,3,12.0,19.99157721985217,High Engagement,Low Donation,Wisconsin,53711
