,Zip Code,Population,Density,RUCC_2023,PerCapitaPersonalIncome
269,79942,30.0,0.3,8.0,68799
270,80105,1198.0,0.9,1.0,81414
271,80118,6476.0,18.3,1.0,102928
272,80120,31891.0,1483.5,1.0,81414
273,80121,19217.0,990.7,1.0,81414
274,80123,47821.0,1556.8,1.0,85164
275,80227,34878.0,1813.3,1.0,85164
276,80235,8804.0,932.1,1.0,85164
277,80237,21890.0,2349.9,1.0,116530
278,80264,0.0,0.0,1.0,116530
279,80423,251.0,0.6,5.0,128041
280,80510,288.0,1.7,2.0,100242
281,80521,36729.0,999.1,2.0,71359
282,80914,455.0,250.8,2.0,65715
283,80921,24087.0,106.9,2.0,65715
284,81020,902.0,0.6,7.0,47010
285,81036,1081.0,0.6,9.0,74467
286,81043,49.0,13.1,7.0,49097
287,81148,305.0,504.6,9.0,46523
288,81225,1452.0,6.8,7.0,70391
289,81325,145.0,0.1,9.0,156403
290,81335,45.0,0.6,6.0,53105
291,81640,129.0,0.0,7.0,52090
292,82190,1103.0,0.1,7.0,77015
293,82227,294.0,0.3,9.0,59399
294,82243,126.0,0.9,7.0,54733
295,82335,52.0,0.2,7.0,68521
296,82420,757.0,5.3,9.0,50641
297,82450,141.0,1.7,7.0,77015
298,82501,19493.0,8.0,7.0,56891
299,82725,607.0,0.8,5.0,62147
300,82838,294.0,0.6,7.0,73622
301,82929,87.0,2.9,5.0,64115
302,83112,489.0,1.4,9.0,73432
303,83217,813.0,1.1,8.0,50947
304,83223,119.0,25.1,9.0,49045
305,83234,1475.0,2.1,3.0,50084
306,83342,1181.0,0.4,6.0,54685
307,83465,128.0,0.3,9.0,53841
308,83547,375.0,1.5,8.0,45574
309,83650,608.0,0.1,2.0,48928
310,83656,705.0,617.2,2.0,47903
311,83687,35172.0,273.1,2.0,47903
312,83849,2065.0,40.9,8.0,45440
313,84023,215.0,0.5,9.0,52788
314,84037,38823.0,802.7,2.0,62449
315,84050,11420.0,11.7,2.0,71630
316,84115,27224.0,1707.1,1.0,71787
317,84318,4745.0,402.8,3.0,50603
318,84642,3735.0,28.8,6.0,43717
319,84750,708.0,2.2,9.0,61075
320,84758,685.0,3.4,8.0,53294
321,84790,45709.0,394.4,3.0,54405
322,85013,21028.0,2183.9,1.0,68111
323,85042,47957.0,1231.8,1.0,68111
324,85045,7008.0,747.9,1.0,68111
325,85123,11265.0,163.5,1.0,49829
326,85137,2535.0,4.7,1.0,49829
327,85324,2825.0,3.7,3.0,55913
328,85344,10495.0,9.5,6.0,58739
329,85348,2537.0,2.2,6.0,58739
330,85357,408.0,0.3,6.0,58739
331,85381,24997.0,1451.5,1.0,68111
332,85546,20610.0,11.8,7.0,42787
333,85551,447.0,3.2,7.0,42787
334,85619,41.0,0.1,1.0,58232
335,85736,4445.0,4.9,1.0,58232
336,86432,3444.0,0.4,3.0,46777
337,86442,33895.0,343.7,3.0,46777
338,86504,7201.0,8.6,8.0,47885
339,87023,529.0,65.4,2.0,46944
340,87036,1548.0,0.6,2.0,47308
341,87415,1715.0,60.3,3.0,46055
342,87508,19447.0,50.8,3.0,77717
343,87567,1157.0,137.5,3.0,77717
344,87732,1251.0,3.1,8.0,56989
345,87935,1422.0,15.1,6.0,49743
346,89012,36512.0,1305.4,1.0,63767
347,89043,1478.0,0.3,8.0,49718
348,89109,7859.0,681.4,1.0,63767
349,89404,0.0,0.0,7.0,58033
350,89427,1162.0,1.8,8.0,50305
351,90024,51627.0,6788.2,1.0,78302
352,90059,46185.0,5381.7,1.0,78302
353,90068,21092.0,1051.1,1.0,78302
354,90220,52817.0,2950.9,1.0,78302
355,90232,14780.0,2709.5,1.0,78302
356,90248,11607.0,954.7,1.0,78302
357,90277,34827.0,3754.1,1.0,78302
358,90503,44605.0,3246.3,1.0,78302
359,90604,42911.0,3888.1,1.0,78302
360,90631,69064.0,1918.8,1.0,88897
361,90732,22780.0,2566.9,1.0,78302
362,91302,26712.0,386.1,1.0,78302
363,91364,27971.0,1422.3,1.0,78302
364,91423,33172.0,2935.5,1.0,78302
365,91701,39461.0,2090.8,1.0,51194
366,91784,26090.0,1105.6,1.0,51194
367,91917,986.0,10.5,1.0,79122
368,91977,64750.0,2586.3,1.0,79122
369,92121,4729.0,149.0,1.0,79122
370,92277,23172.0,6.4,1.0,51194
371,92324,59972.0,778.9,1.0,51194
372,92866,15574.0,3112.7,1.0,88897
373,93021,38581.0,315.2,2.0,78091
374,93207,256.0,1.7,2.0,48253
375,93215,54958.0,149.6,2.0,47350
376,93291,59270.0,270.4,2.0,48253
377,93401,28854.0,159.4,2.0,72721
378,93562,1771.0,17.3,1.0,51194
379,93625,8059.0,125.9,1.0,52728
380,94086,50477.0,4339.8,1.0,151003
381,94404,36985.0,3321.4,1.0,172828
382,94526,33135.0,856.9,1.0,103218
383,94528,384.0,63.2,1.0,103218
384,94556,16428.0,519.1,1.0,103218
385,94582,42576.0,1259.7,1.0,103218
386,94950,123.0,5.5,1.0,180575
387,95127,66256.0,1968.3,1.0,151003
388,95207,52269.0,2781.2,2.0,59361
389,95223,2666.0,3.6,6.0,58425
390,95230,840.0,2.7,2.0,59361
391,95313,1305.0,9.8,2.0,53058
392,95335,153.0,1.4,4.0,56239
393,95338,10827.0,12.3,8.0,65423
394,95351,48542.0,2109.7,2.0,53058
395,95422,15696.0,172.0,4.0,48198
396,95427,226.0,1.3,4.0,59050
397,95437,14859.0,58.7,4.0,59050
398,95450,227.0,3.2,2.0,83408
399,95536,2899.0,7.6,5.0,57264
400,95587,51.0,1.5,4.0,59050
401,95623,3665.0,27.0,1.0,84533
402,95642,7101.0,41.4,6.0,50020
403,95650,14808.0,231.9,1.0,85265
404,95681,1246.0,27.9,1.0,85265
405,95687,69060.0,612.8,2.0,64514
406,95697,183.0,304.9,1.0,67778
407,95941,775.0,18.9,3.0,56847
408,95963,15492.0,19.6,6.0,53013
409,95986,56.0,2.6,4.0,75539
410,96011,199.0,0.2,3.0,57637
411,96027,2327.0,1.9,7.0,55052
412,96034,279.0,1.0,7.0,55052
413,96121,358.0,4.1,7.0,43736
414,96719,1440.0,27.2,5.0,52866
415,96921,,,5.0,
416,97102,318.0,19.6,4.0,60930
417,97109,538.0,6.4,1.0,79139
418,97112,1867.0,6.9,7.0,61950
419,97113,14918.0,162.0,1.0,79139
420,97133,4734.0,26.1,1.0,79139
421,97148,4288.0,21.9,1.0,61974
422,97210,11877.0,608.2,1.0,75772
423,97224,35434.0,1543.5,1.0,79139
424,97301,56196.0,1872.3,2.0,58470
425,97302,38706.0,634.2,2.0,58470
426,97376,1254.0,7.6,5.0,59715
427,97381,16158.0,57.3,2.0,58470
428,97430,349.0,1.3,2.0,61634
