Zip Code,PerCapitaPersonalIncome
35203,71275.0
35204,71275.0
35235,71275.0
37721,67323.0
37918,67323.0
37919,67323.0
40215,67663.0
40243,67663.0
44126,68360.0
44134,68360.0
44135,68360.0
45001,75833.0
45051,75833.0
45236,75833.0
45828,67802.0
46256,70999.0
48816,73173.0
48843,73173.0
53076,73187.0
55033,75019.0
55106,69310.0
55124,75019.0
55934,71904.0
56114,67663.0
57035,74873.0
57376,75370.0
57540,76842.0
58004,73185.0
58210,70222.0
58477,75321.0
58544,69003.0
58561,72030.0
58573,69003.0
59024,68959.0
59064,68959.0
60401,68225.0
61335,70122.0
61363,70122.0
63376,69693.0
67552,74594.0
67764,69978.0
68314,68090.0
68322,71989.0
68340,71989.0
68413,67310.0
68452,69182.0
68455,67310.0
68460,68781.0
68725,70612.0
68756,76372.0
68840,74630.0
68967,70215.0
68980,69182.0
73120,72954.0
73149,72954.0
76950,75645.0
77464,73855.0
77469,73855.0
77502,73862.0
77995,71664.0
79094,71357.0
80117,76970.0
80547,71359.0
81635,71629.0
82229,70943.0
82640,70887.0
84121,71787.0
85050,68111.0
88210,76555.0
98664,69318.0
98686,69318.0
99709,69775.0
99712,69775.0
33125,75182.0
33142,75182.0
33150,75182.0
33155,75182.0
33767,71904.0
35091,71275.0
35116,71275.0
35217,71275.0
35242,71565.0
44143,68360.0
44275,70562.0
45208,75833.0
45211,75833.0
45255,75833.0
47532,68645.0
51458,75597.0
51561,69748.0
52206,70193.0
53033,73187.0
53935,67169.0
55117,69310.0
55901,71904.0
55906,71904.0
56128,69853.0
56208,69348.0
57197,74873.0
57239,73994.0
57242,69757.0
57251,74933.0
57259,74933.0
57269,74933.0
57301,67849.0
57366,75370.0
57744,68449.0
58021,73185.0
58103,73185.0
93465,72721.0
93905,68943.0
93906,68943.0
93927,68943.0
95975,75539.0
97204,75772.0
98256,75320.0
98272,75320.0
98311,73841.0
98359,73841.0
21651,77025.0
22406,68098.0
98821,68356.0
99547,72234.0
99703,69775.0
99714,69775.0
58789,75774.0
59065,67131.0
59721,75313.0
60033,69641.0
60177,67922.0
60423,68225.0
61936,70047.0
64098,73531.0
68325,71989.0
68771,71135.0
68929,68950.0
68966,74351.0
68976,74113.0
69022,70215.0
70090,70185.0
70115,67403.0
70126,67403.0
70763,70185.0
73097,72954.0
73159,72954.0
76035,74009.0
76481,69691.0
77044,73862.0
77072,73862.0
77451,73855.0
77477,73855.0
77547,73862.0
78024,69038.0
78609,72121.0
79528,71715.0
79777,67647.0
80434,68367.0
80511,71359.0
80535,71359.0
81137,76558.0
82332,68521.0
82435,77015.0
82834,70887.0
82837,73622.0
82923,70620.0
84102,71787.0
85041,68111.0
85266,68111.0
85387,68111.0
1267,70945.0
1605,69301.0
3047,76187.0
3257,73531.0
3287,73531.0
3906,70640.0
3911,70640.0
4612,68181.0
4664,68181.0
5037,72177.0
5682,73602.0
6002,75433.0
6093,75433.0
6096,75433.0
6118,75433.0
6353,69755.0
6510,68387.0
7462,75364.0
7871,75364.0
8022,74684.0
8536,75352.0
8641,74684.0
